,d8,d16,d18,d6,d12,d14,d15,d20,d1,d10,d2,d7,d17,d11,d4,d19,d13,d5,d9,d3
r18,3,15,1,0,8,16,5,11,13,19,14,6,12,7,2,18,10,9,4,17
r15,7,2,5,8,10,3,1,0,11,15,17,18,14,19,16,4,6,12,13,9
r8,19,7,11,14,15,9,6,2,17,1,5,13,4,18,16,8,12,10,3,0
r9,5,18,14,19,4,11,0,6,8,15,7,17,13,1,3,12,16,9,2,10
r3,14,13,10,11,7,2,5,9,1,4,19,8,15,18,6,17,3,0,16,12
r11,18,14,11,5,17,10,13,9,16,19,7,12,15,0,6,1,2,3,8,4
r1,3,0,19,11,15,7,2,5,6,12,18,10,4,8,9,14,17,13,1,16
r12,13,18,11,10,4,1,16,14,8,0,3,5,9,7,6,12,17,19,2,15
r6,19,1,7,2,4,5,8,3,12,18,14,10,16,15,6,13,0,11,9,17
r2,2,14,19,18,9,1,0,7,12,8,13,4,16,3,5,6,11,10,15,17
r4,5,15,14,3,10,2,16,8,13,4,6,1,12,11,19,7,0,9,18,17
r13,1,19,11,10,9,5,3,16,4,2,17,8,15,12,0,14,18,6,13,7
r14,13,5,3,11,7,14,18,19,2,17,6,9,12,1,10,16,15,4,8,0
r10,19,4,11,13,12,8,10,2,18,3,7,9,6,0,5,14,16,1,15,17
r20,9,3,2,12,13,18,17,11,14,8,0,16,4,1,7,19,15,10,6,5
r19,17,2,11,12,19,7,3,10,15,8,6,4,0,5,16,18,1,13,9,14
r17,11,12,19,10,16,13,18,3,8,4,9,0,2,5,1,14,15,6,7,17
r5,10,2,5,18,3,19,4,7,1,17,13,0,9,12,14,8,15,11,16,6
r7,16,17,15,7,13,2,1,3,12,18,0,8,4,5,14,9,19,6,11,10
r16,5,3,4,16,10,1,0,6,17,7,12,18,14,2,9,19,15,13,8,11
