,d16,d20,d9,d6,d12,d10,d1,d7,d4,d2,d14,d8,d18,d13,d5,d17,d15,d11,d19,d3
r4,10,12,0,17,3,16,9,5,2,11,8,14,19,7,6,1,15,13,4,18
r6,14,16,17,11,6,15,0,5,18,10,7,13,9,2,19,3,12,8,1,4
r9,16,10,5,13,8,11,15,4,2,0,18,9,6,1,3,14,12,7,19,17
r5,10,3,7,8,18,16,15,14,4,13,1,2,9,19,0,12,5,17,6,11
r18,6,11,1,2,13,14,19,17,3,7,18,15,9,5,10,4,16,0,8,12
r10,15,16,2,11,17,13,5,8,4,3,14,19,18,9,12,6,10,1,0,7
r14,4,17,18,1,8,2,16,19,10,15,3,5,0,9,13,6,11,14,7,12
r15,1,19,15,6,3,12,2,17,5,11,10,14,13,7,8,18,9,4,0,16
r20,13,18,14,17,8,0,12,5,11,6,19,15,10,1,4,2,3,9,16,7
r13,14,9,18,2,10,13,7,17,15,5,12,0,16,11,6,3,1,8,4,19
r19,6,9,16,5,3,10,1,4,14,12,18,11,17,2,0,19,8,13,7,15
r16,15,16,1,18,13,12,9,5,7,19,0,17,11,8,14,10,2,4,6,3
r17,16,5,19,0,15,6,17,12,13,7,3,8,4,1,9,11,10,18,2,14
r2,11,6,9,4,5,3,16,0,18,7,14,19,2,13,10,17,12,1,15,8
r8,10,16,14,11,2,15,3,17,13,6,7,1,4,19,8,12,18,0,5,9
r7,13,7,16,5,8,4,6,18,14,17,3,0,12,11,1,9,2,15,19,10
r11,5,16,17,19,1,7,14,8,10,4,15,3,11,18,13,0,2,9,12,6
r3,17,2,18,11,19,8,9,10,16,5,1,4,13,7,6,15,12,0,14,3
r12,1,6,14,12,4,8,16,11,13,10,7,17,15,19,3,0,2,5,18,9
r1,3,0,14,10,2,8,1,12,6,15,9,4,11,18,7,5,13,16,19,17
