,d40,d80,d62,d95,d73,d58,d13,d99,d39,d54,d82,d1,d100,d3,d79,d23,d49,d28,d75,d92,d67,d41,d43,d78,d42,d86,d36,d60,d97,d15,d18,d85,d19,d25,d32,d33,d8,d14,d44,d2,d11,d87,d6,d69,d17,d29,d68,d9,d7,d30,d94,d66,d56,d93,d96,d50,d91,d77,d37,d71,d65,d57,d35,d5,d61,d22,d48,d21,d34,d90,d12,d81,d16,d27,d74,d31,d83,d52,d47,d84,d38,d76,d55,d51,d46,d70,d98,d88,d72,d63,d20,d45,d26,d4,d89,d24,d10,d53,d59,d64
r64,13,42,85,5,29,36,97,43,10,0,18,32,91,20,51,74,80,27,11,54,76,2,83,60,45,71,39,14,46,70,1,93,16,61,63,23,57,86,66,87,67,78,79,84,17,50,47,88,3,69,52,44,28,8,9,62,26,35,41,25,7,92,96,40,64,30,33,72,94,89,99,90,65,34,58,49,81,68,75,15,82,53,56,59,21,77,55,24,4,95,12,38,31,6,22,19,48,98,37,73
r51,76,7,10,71,28,46,40,34,31,68,63,56,25,41,54,37,58,38,47,84,65,19,62,52,12,15,45,61,3,4,86,87,69,98,91,1,17,16,88,93,99,6,95,32,0,26,79,90,42,96,11,53,2,85,9,55,82,23,89,83,67,92,81,20,57,77,13,74,64,35,21,14,75,73,72,49,39,51,48,33,97,30,66,50,80,5,18,8,78,24,43,59,44,60,22,94,29,27,70,36
r30,25,43,85,51,7,23,70,92,16,41,75,89,83,33,80,73,68,40,57,58,56,91,15,37,71,20,4,22,78,45,49,0,28,77,64,6,97,24,53,29,65,5,27,93,99,54,94,10,47,74,76,36,32,62,86,13,19,31,66,44,88,61,87,34,30,3,82,98,26,59,14,17,50,2,48,38,52,46,35,69,12,96,79,18,39,9,55,11,95,90,1,84,60,63,81,8,67,72,42,21
r58,81,67,49,92,97,14,89,69,45,27,32,58,26,52,66,94,25,28,86,20,18,51,0,31,8,79,1,84,13,5,80,82,29,62,61,33,6,17,38,46,9,10,39,74,48,88,60,53,77,3,50,65,16,30,22,96,71,55,2,56,37,93,42,78,75,73,87,95,85,43,24,21,36,59,98,99,40,63,83,41,70,19,47,64,91,90,76,34,7,44,54,68,72,15,11,12,35,23,4,57
r39,51,30,40,19,99,81,20,32,33,65,68,15,97,79,77,37,36,24,78,7,50,95,28,54,8,55,94,5,12,58,98,72,80,60,39,84,14,61,87,31,76,67,92,63,44,13,66,49,17,42,22,85,23,71,89,26,4,96,1,41,2,53,70,73,25,43,10,9,3,83,47,56,35,90,75,6,91,86,18,88,34,29,93,46,82,45,74,64,0,11,59,52,38,69,21,16,57,62,48,27
r48,3,89,54,65,81,80,29,58,44,45,69,53,55,95,91,99,83,62,1,26,52,23,75,77,32,84,24,74,5,33,15,37,67,93,39,46,57,38,64,40,51,16,41,47,12,34,70,25,0,68,7,13,19,8,87,2,50,43,14,17,82,86,71,85,66,27,18,88,9,63,78,28,21,76,31,90,73,92,61,22,10,49,48,59,96,36,30,94,72,97,35,79,6,11,98,42,20,4,56,60
r94,7,91,86,16,95,62,48,34,60,54,3,47,49,32,82,25,29,11,37,40,94,17,43,24,5,55,63,14,59,18,23,27,8,87,26,28,77,22,71,72,96,76,4,31,93,68,13,45,88,42,44,84,89,12,0,52,1,65,38,58,78,57,19,90,73,66,99,85,10,74,64,92,56,53,36,20,97,15,98,81,46,30,75,9,70,61,79,67,33,83,51,80,41,2,69,35,6,21,50,39
r72,30,14,25,61,55,46,83,65,69,66,9,35,45,34,84,81,71,86,38,87,41,4,72,20,91,54,64,31,48,42,94,23,67,93,92,78,73,27,77,13,21,6,56,22,79,74,85,70,12,29,28,75,3,51,62,5,19,39,24,60,37,58,96,57,32,16,88,43,17,49,98,26,47,63,0,50,76,1,18,2,99,82,90,68,44,33,11,36,53,15,8,59,97,40,7,52,95,80,89,10
r33,6,86,59,5,92,49,87,84,45,48,89,31,78,68,33,61,65,58,2,62,36,56,9,26,25,46,98,79,20,43,71,96,95,52,0,19,47,42,38,53,11,55,35,24,81,41,69,44,64,23,90,76,4,99,30,21,18,66,63,3,93,32,28,82,83,34,75,12,7,91,57,54,22,51,39,97,77,8,50,15,94,13,10,88,80,1,16,60,37,72,27,17,67,74,40,85,29,14,70,73
r16,19,58,87,26,66,38,47,44,64,32,13,82,20,88,73,42,7,74,17,71,50,97,45,52,3,77,76,11,43,27,4,69,55,89,63,6,23,94,36,48,22,59,96,46,14,39,51,34,37,65,16,67,30,21,49,75,12,25,99,0,95,61,5,10,15,53,24,90,56,78,40,79,33,2,84,72,57,93,70,91,35,83,29,92,54,18,31,62,60,86,80,9,8,1,85,68,41,98,28,81
r98,94,96,16,70,0,59,36,8,50,69,42,63,44,7,46,89,81,88,45,37,52,85,73,24,34,90,15,91,95,25,77,60,5,28,57,55,98,14,80,48,87,13,20,56,53,31,1,66,32,29,23,2,99,43,64,65,86,54,3,18,40,12,11,71,26,27,17,78,33,38,67,21,97,68,79,6,62,4,10,75,9,61,30,39,51,84,58,82,19,72,22,83,35,74,76,41,93,47,49,92
r7,5,43,8,66,60,4,92,77,22,25,64,36,18,86,35,68,96,29,11,67,74,30,65,10,7,3,61,95,20,14,57,13,40,93,6,89,59,27,31,34,90,23,26,54,82,79,91,80,76,81,33,17,75,84,15,21,39,32,83,56,99,46,2,70,72,38,69,88,58,28,42,87,49,52,9,16,44,50,78,85,12,55,51,62,24,19,73,47,0,98,94,97,37,53,1,48,41,71,45,63
r73,8,90,55,42,97,96,88,89,73,44,60,66,67,79,30,84,46,14,56,32,16,98,51,29,41,65,70,53,94,33,35,63,0,54,93,87,99,91,47,28,49,1,24,45,25,26,71,18,10,27,15,82,72,4,38,9,2,13,76,61,95,36,3,57,17,48,59,37,12,74,23,20,40,81,62,19,85,39,58,69,77,50,5,31,80,52,86,64,11,7,6,22,92,68,83,75,43,78,21,34
r44,73,94,72,34,68,1,81,33,52,30,20,82,67,17,85,70,97,74,50,71,15,78,75,95,37,43,57,6,22,28,4,76,96,84,25,18,80,24,98,77,66,58,91,60,10,86,54,93,56,64,49,90,99,61,83,14,35,92,9,65,23,27,36,26,42,79,47,53,45,31,62,48,0,41,2,38,40,7,3,88,12,32,63,59,55,13,39,46,87,16,11,51,8,19,21,29,44,69,5,89
r93,14,20,10,76,4,3,34,19,85,48,95,24,16,49,65,42,52,71,58,81,98,83,82,15,33,89,45,87,94,57,80,47,41,51,23,50,21,99,44,91,73,69,56,30,90,6,32,64,62,46,29,93,88,53,25,68,22,74,67,96,13,55,17,72,77,61,59,37,63,28,35,11,5,92,1,86,75,36,18,7,60,0,78,79,40,70,84,2,97,66,9,43,54,39,8,38,26,12,31,27
r10,16,34,48,84,2,71,47,37,7,52,86,4,5,31,50,41,82,55,89,75,94,0,36,66,77,17,33,65,35,57,59,61,98,46,93,40,11,6,32,12,1,88,3,91,83,38,69,80,23,22,99,68,43,76,42,13,19,45,26,51,44,90,95,96,15,56,30,49,60,97,70,64,74,9,53,73,18,63,79,85,87,92,25,21,81,20,29,67,62,72,39,28,24,78,8,14,27,58,54,10
r68,78,81,33,18,5,63,10,0,55,6,8,92,20,69,30,83,25,16,4,99,24,1,15,34,95,68,9,47,70,31,61,21,52,93,44,57,96,80,53,73,35,64,49,56,3,94,86,71,39,77,36,51,26,41,7,17,38,97,87,29,48,37,59,43,58,50,12,84,46,23,90,98,2,42,62,66,32,75,13,91,76,67,79,72,40,45,88,54,14,65,19,74,27,89,60,28,11,85,82,22
r75,64,44,24,74,4,46,38,67,54,98,59,26,63,3,49,51,31,73,39,19,65,90,41,85,77,0,42,17,82,12,27,58,32,8,99,80,13,81,1,34,61,43,48,10,16,78,11,94,7,35,79,22,23,20,69,93,60,14,5,87,68,84,2,30,50,29,37,75,47,71,45,15,89,33,28,72,91,57,55,76,9,18,40,95,62,25,53,97,88,86,52,6,92,96,83,36,21,70,66,56
r70,11,42,31,6,93,97,74,41,73,39,43,44,15,4,77,52,37,65,47,7,51,83,72,3,18,53,86,69,55,75,0,90,8,79,63,61,27,88,26,80,35,66,33,38,94,54,92,57,76,14,36,21,25,81,96,71,20,19,70,68,87,95,99,50,89,24,32,78,62,28,91,98,64,30,45,5,2,85,49,84,46,58,82,17,12,60,40,16,67,59,1,9,34,56,13,10,29,23,22,48
r3,8,25,46,9,44,84,24,33,66,86,58,72,17,30,21,18,20,13,76,15,95,69,28,37,16,65,35,83,79,12,41,1,54,90,74,40,31,73,80,63,93,77,87,11,64,2,82,49,71,48,34,3,67,61,97,36,56,52,32,96,68,43,4,27,45,92,91,47,60,23,78,19,55,75,70,39,14,26,5,42,0,22,59,38,29,88,51,85,57,50,98,94,81,6,89,62,7,99,10,53
r100,80,46,91,38,87,82,81,73,83,64,99,20,17,33,21,50,55,96,15,3,24,75,6,25,86,0,70,31,84,30,2,9,44,42,11,93,94,41,97,74,16,88,90,52,98,69,13,40,28,23,67,39,36,59,19,26,77,5,78,57,1,58,27,65,37,62,54,32,61,10,71,7,12,18,14,72,4,66,89,60,45,22,95,51,76,8,29,48,68,92,53,49,35,56,85,43,79,34,47,63
r84,34,36,59,20,67,80,26,54,4,75,78,50,61,31,56,90,64,94,74,49,98,55,79,7,69,13,70,32,41,51,48,65,10,5,18,30,60,92,84,9,52,40,17,15,97,83,43,99,22,19,28,8,25,91,47,33,23,21,66,37,12,35,62,0,73,2,27,93,3,44,58,87,85,11,42,45,96,1,71,6,77,86,63,53,24,46,39,68,88,38,95,89,29,76,81,16,57,14,72,82
r69,13,55,61,41,70,78,79,45,42,3,67,85,65,0,18,38,53,34,14,71,96,46,43,21,28,69,63,91,98,56,62,20,24,54,64,58,16,40,99,51,25,57,66,33,32,39,48,5,83,97,68,93,29,94,27,89,80,2,86,90,15,12,22,6,87,8,52,49,73,7,76,59,81,75,37,74,44,92,17,36,84,23,1,9,77,47,50,82,19,88,10,11,4,31,72,95,35,30,26,60
r85,89,46,5,64,84,38,1,65,94,58,11,61,47,85,3,81,95,55,80,69,16,93,7,2,40,72,98,18,6,9,21,12,26,79,50,74,42,44,34,10,43,70,87,71,28,29,62,82,45,19,83,20,90,17,66,30,56,99,33,91,67,27,68,31,41,53,14,36,54,39,52,0,57,92,49,4,25,48,88,15,86,73,97,78,22,96,59,63,51,35,76,37,23,75,13,24,77,8,32,60
