,d10,d13,d2,d1,d15,d7,d14,d19,d16,d11,d9,d18,d8,d6,d20,d12,d5,d3,d4,d17
r20,6,10,13,14,2,12,11,1,4,3,8,18,5,17,0,19,15,7,9,16
r8,1,11,17,9,5,14,7,4,19,12,8,15,3,0,16,6,13,10,18,2
r6,14,9,18,15,5,7,2,1,16,19,4,12,3,17,13,0,8,11,10,6
r17,7,19,15,13,9,18,2,17,10,0,5,11,4,6,1,12,14,16,8,3
r2,16,0,7,19,12,3,13,17,15,1,8,2,5,4,18,6,11,9,10,14
r12,4,17,19,0,9,1,12,8,14,15,3,16,7,5,13,11,18,10,2,6
r1,16,9,6,17,7,1,18,5,14,12,19,10,13,3,8,0,11,15,2,4
r10,18,11,5,4,3,17,8,10,19,0,6,13,16,12,9,7,15,1,14,2
r5,14,6,18,4,12,13,19,8,10,7,17,1,2,11,0,16,5,3,15,9
r11,1,0,10,3,16,12,19,5,18,14,13,6,9,15,17,7,8,2,4,11
r18,6,4,11,15,8,7,18,14,9,17,13,10,0,12,2,16,19,1,5,3
r9,15,7,10,3,17,9,5,11,0,13,16,18,19,1,12,6,14,8,2,4
r15,19,12,0,10,1,5,6,16,15,14,11,8,13,3,18,2,9,4,17,7
r7,11,18,6,13,2,1,14,3,12,4,19,7,10,9,0,16,5,17,15,8
r19,11,16,13,17,14,3,10,7,19,12,0,18,6,4,9,1,2,5,8,15
r4,6,11,18,2,3,14,16,5,19,4,1,15,12,17,0,9,7,10,8,13
r13,4,9,15,18,17,6,5,16,7,0,10,12,19,14,3,1,13,11,8,2
r16,8,15,0,19,18,14,4,2,12,3,5,1,16,10,9,17,6,7,11,13
r14,11,14,6,10,18,7,9,17,19,15,0,13,2,5,12,1,16,4,8,3
r3,7,10,13,9,11,2,1,4,19,12,8,6,3,0,15,17,14,18,16,5
