,r13,r15,r4,r20,r19,r5,r7,r9,r11,r10,r17,r1,r3,r6,r12,r16,r8,r18,r14,r2
d9,14,8,12,15,5,18,10,17,0,11,2,13,9,4,3,6,19,1,7,16
d10,5,11,13,17,0,10,4,18,14,16,3,2,15,1,19,8,7,6,12,9
d12,0,5,12,8,11,19,14,9,3,18,4,16,10,13,17,1,6,7,2,15
d6,6,10,16,2,11,14,19,5,13,15,3,4,17,12,1,9,7,0,8,18
d15,6,3,1,19,17,5,12,11,2,9,18,4,15,7,14,8,16,13,0,10
d17,18,16,5,13,7,6,0,17,8,19,2,3,11,14,9,4,10,12,1,15
d16,1,10,15,4,2,17,0,16,9,13,3,14,5,8,18,7,19,6,12,11
d7,15,16,0,6,19,2,9,18,12,11,10,1,5,4,17,7,8,13,14,3
d13,8,1,19,12,9,6,7,3,17,11,16,4,10,14,5,15,0,2,13,18
d19,2,5,17,9,7,18,14,3,10,8,12,15,19,4,6,13,1,0,11,16
d1,15,19,14,8,13,11,1,9,6,16,4,17,10,3,5,7,0,12,2,18
d2,18,6,11,16,14,0,12,13,9,17,8,4,10,15,1,3,19,5,2,7
d14,6,15,16,10,13,2,19,1,18,7,3,17,11,9,12,5,0,14,4,8
d18,17,9,0,19,11,5,2,7,16,4,1,18,12,6,13,10,14,8,3,15
d4,2,5,12,8,9,13,11,7,15,0,4,17,6,19,16,18,14,10,1,3
d8,4,13,5,6,16,8,15,18,10,11,9,1,0,7,12,14,3,2,19,17
d3,2,10,17,19,9,7,4,14,15,18,3,8,6,13,1,0,16,12,5,11
d5,10,14,1,16,19,8,0,3,17,15,12,11,2,7,6,18,9,13,4,5
d11,8,16,9,2,7,10,3,6,5,1,17,12,19,11,14,0,13,15,18,4
d20,2,17,18,5,12,9,1,6,11,16,14,10,8,3,19,13,4,0,15,7
