,r4,r6,r9,r5,r18,r10,r14,r15,r20,r13,r19,r16,r17,r2,r8,r7,r11,r3,r12,r1
d16,14,2,3,10,15,13,9,11,7,12,6,1,17,5,4,8,18,16,0,19
d20,14,16,9,4,13,11,10,17,6,19,1,5,8,0,7,15,12,2,18,3
d9,16,17,10,19,18,11,7,4,1,6,2,12,5,14,9,15,13,3,0,8
d6,13,10,8,9,19,11,16,17,3,7,0,18,1,6,2,5,4,12,15,14
d12,14,4,0,5,13,10,2,15,3,1,12,6,11,9,17,7,18,16,19,8
d10,7,11,5,1,2,19,4,14,8,3,13,12,10,15,0,18,16,9,6,17
d1,10,1,2,15,4,7,18,0,17,5,14,19,13,11,16,9,8,3,12,6
d7,11,12,4,14,1,16,8,17,2,6,0,10,7,19,18,15,3,13,5,9
d4,3,10,15,2,12,0,18,13,19,11,16,7,9,5,6,8,14,1,17,4
d2,9,5,18,6,13,14,17,2,19,15,10,4,11,3,16,0,1,12,7,8
d14,19,5,7,17,1,18,6,10,0,16,4,12,11,2,8,9,13,14,15,3
d8,4,14,15,2,13,3,6,7,17,1,12,16,0,9,8,19,10,18,5,11
d18,4,6,8,13,10,3,2,0,1,14,15,17,7,11,16,18,9,19,12,5
d13,2,18,12,5,7,1,19,14,8,6,11,0,9,4,17,15,13,10,3,16
d5,9,16,0,10,5,12,3,8,13,11,19,4,18,2,17,7,1,15,14,6
d17,5,4,11,6,0,18,15,1,3,10,13,12,17,19,2,9,8,14,16,7
d15,10,1,12,6,19,7,15,0,18,17,11,5,14,4,13,2,3,9,8,16
d11,3,11,0,1,18,12,9,4,17,2,15,5,6,19,14,13,8,10,16,7
d19,11,15,4,8,14,7,1,0,12,18,17,2,5,19,13,10,6,3,9,16
d3,8,12,2,18,1,13,11,3,9,19,5,10,0,7,16,17,15,6,4,14
