,d21,d4,d100,d35,d38,d8,d76,d26,d7,d20,d16,d87,d93,d25,d10,d32,d92,d67,d3,d29,d99,d57,d71,d84,d74,d40,d58,d65,d27,d79,d95,d50,d69,d46,d81,d61,d56,d73,d59,d85,d30,d28,d11,d1,d62,d75,d43,d91,d88,d6,d17,d49,d19,d44,d86,d78,d37,d82,d24,d42,d72,d41,d53,d63,d9,d2,d96,d47,d22,d33,d14,d89,d15,d66,d54,d60,d51,d70,d98,d83,d48,d39,d77,d97,d52,d80,d18,d64,d90,d94,d12,d68,d45,d31,d55,d34,d5,d13,d23,d36
r100,6,47,72,31,92,3,89,8,25,57,80,46,93,28,91,27,94,52,13,38,74,88,53,95,9,99,82,34,83,62,63,43,54,37,17,18,5,12,11,59,50,60,2,90,19,4,85,29,84,56,66,64,36,49,0,45,48,73,23,32,7,55,40,35,44,69,98,33,75,96,76,30,79,58,41,24,68,61,77,97,86,15,16,42,1,21,71,67,70,22,65,78,26,87,51,20,39,14,10,81
r52,53,55,65,85,94,90,1,72,37,48,7,6,73,82,32,40,78,2,98,76,0,24,19,44,59,34,39,84,50,89,11,60,83,41,61,74,8,36,22,47,71,92,69,87,63,93,99,14,66,21,3,12,35,62,64,75,86,46,67,51,15,18,81,54,56,77,95,58,9,57,70,79,10,45,91,5,96,17,4,23,42,25,43,13,30,29,28,31,97,27,20,16,80,38,88,52,26,49,33,68
r42,31,23,19,47,67,41,98,52,48,69,55,60,81,43,46,20,64,14,79,13,84,73,16,53,17,92,91,26,61,28,74,49,44,87,80,30,9,58,22,40,70,90,88,18,95,75,86,89,77,36,71,93,29,54,68,27,38,56,66,37,21,45,11,94,34,51,65,7,99,4,76,5,12,63,33,42,78,2,83,57,96,39,1,24,97,35,6,59,10,62,0,3,50,25,8,15,82,32,72,85
r32,54,63,83,67,32,15,80,60,62,87,33,77,68,50,73,25,49,84,75,86,43,11,90,59,30,46,98,58,52,31,0,17,18,41,42,91,71,56,48,97,40,12,74,78,45,53,51,4,66,36,92,70,99,82,85,76,19,20,24,65,5,94,34,69,21,44,79,35,22,13,61,88,6,16,37,55,27,39,96,8,10,81,7,72,29,1,2,95,9,93,47,38,26,57,64,89,3,23,28,14
r76,16,1,76,41,65,11,15,38,68,22,85,74,66,9,57,61,87,90,4,77,52,89,37,93,62,17,18,91,10,30,53,82,73,39,36,19,24,95,83,44,98,0,64,13,78,48,42,26,20,40,8,59,94,32,58,29,35,34,75,51,96,50,56,80,7,33,99,71,97,28,54,55,5,60,72,14,88,47,27,81,84,63,12,3,46,2,67,43,70,6,49,45,21,79,31,92,86,23,69,25
r88,11,18,45,27,15,64,67,98,2,94,59,52,57,74,71,92,86,9,8,7,49,43,50,46,29,17,60,91,69,24,28,95,82,25,37,84,66,0,73,76,4,63,85,55,35,89,51,88,75,16,79,32,39,65,83,34,78,13,31,22,56,80,44,14,53,33,1,97,87,20,68,40,12,96,62,90,26,19,47,23,36,10,30,61,48,81,93,38,77,72,58,41,5,3,21,42,99,70,54,6
r40,0,4,96,99,52,51,31,69,38,21,2,16,11,35,32,95,14,81,92,91,20,44,70,90,94,27,83,79,33,80,98,49,46,10,71,15,57,43,47,26,89,61,39,84,50,93,87,25,42,12,59,17,19,5,23,56,29,62,97,24,58,82,30,72,63,75,76,48,9,41,37,86,54,13,65,68,88,77,45,1,18,34,55,85,22,60,67,6,40,28,66,7,3,73,74,36,53,64,78,8
r60,71,43,35,8,60,93,15,96,63,2,32,72,56,50,5,44,3,47,69,95,89,25,14,1,74,61,41,94,62,37,90,92,79,23,0,39,17,11,53,58,84,77,36,20,48,57,29,80,91,49,68,76,18,85,45,78,24,10,13,46,88,6,83,81,52,99,34,86,97,40,75,67,26,65,55,27,30,28,73,42,82,22,87,31,51,19,54,33,70,66,98,64,59,16,38,9,12,4,7,21
r74,74,23,5,25,89,58,15,66,61,75,24,3,84,27,22,0,94,71,32,33,63,96,80,45,6,1,77,95,26,38,65,76,68,18,87,46,79,11,51,40,2,47,44,21,81,30,16,92,42,29,88,60,31,8,57,99,48,9,49,93,91,52,36,56,12,39,85,83,10,34,90,53,78,98,73,70,7,19,55,28,54,59,13,37,41,17,14,43,50,35,20,72,86,97,69,4,64,67,62,82
r8,99,60,80,88,82,13,65,5,45,66,48,31,84,6,72,40,58,75,53,87,64,91,73,26,20,47,62,21,70,90,35,61,19,27,93,51,8,16,12,54,7,86,11,67,24,83,25,46,76,28,85,1,3,68,55,17,77,15,59,56,95,79,92,34,42,22,78,33,2,4,97,29,89,44,23,98,94,10,52,74,32,41,36,37,49,96,18,71,30,14,57,69,38,39,9,81,63,43,0,50
