,d9,d10,d12,d6,d15,d17,d16,d7,d13,d19,d1,d2,d14,d18,d4,d8,d3,d5,d11,d20
r13,18,12,2,5,3,15,7,10,1,9,17,4,11,13,8,19,16,14,0,6
r15,10,7,19,6,18,13,5,17,12,15,11,16,0,4,8,1,9,2,14,3
r4,13,19,6,16,1,0,14,18,9,5,10,4,11,2,3,12,17,8,15,7
r20,6,3,10,16,19,18,15,9,0,12,8,17,5,14,2,4,13,11,7,1
r19,9,14,4,15,11,19,1,17,10,3,12,7,18,5,6,2,16,0,13,8
r5,13,4,12,7,5,0,15,3,17,19,8,10,6,2,9,14,16,18,11,1
r7,4,17,12,2,9,18,1,10,3,15,13,6,19,7,5,14,16,0,8,11
r9,12,14,8,0,15,5,9,4,17,3,18,10,16,7,13,1,6,19,11,2
r11,13,7,18,5,17,0,4,2,6,12,19,8,10,1,11,16,3,14,15,9
r10,19,14,0,1,5,9,13,16,2,3,18,17,10,4,12,15,11,8,6,7
r17,11,15,18,17,19,10,5,2,0,9,6,16,12,3,4,8,14,1,7,13
r1,1,6,18,7,16,11,17,14,2,12,10,9,0,13,4,5,15,8,3,19
r3,17,0,6,5,4,8,18,12,11,15,1,10,13,7,14,19,9,2,16,3
r6,12,6,4,10,9,8,14,5,16,17,1,19,0,15,2,18,11,7,3,13
r12,17,0,14,16,8,3,11,9,18,2,13,19,1,10,12,6,15,4,7,5
r16,6,12,14,13,7,18,4,0,1,8,17,11,16,2,9,15,3,10,5,19
r8,8,18,2,9,15,4,3,12,16,5,0,17,19,11,10,6,7,13,14,1
r18,13,2,7,6,10,8,16,1,12,3,15,4,5,18,0,9,11,17,19,14
r14,4,17,13,2,16,19,1,12,3,8,14,10,11,15,6,5,0,7,18,9
r2,9,8,12,1,11,14,7,0,10,16,15,2,19,4,3,13,5,18,6,17
